#	 Module 	 Chip 	 Chn 	 CellID1 	 I 	 J 	 K 	 CellID0
3	0	0	3	2	11	1	360640
3	1	0	67	1	26	1	852224
3	2	0	131	3	26	1	852096
3	3	0	195	4	11	1	360512
3	0	1	1027	2	12	1	393408
3	1	1	1091	1	25	1	819456
3	2	1	1155	3	25	1	819328
3	3	1	1219	4	12	1	393280
3	0	2	2051	2	13	1	426176
3	1	2	2115	1	24	1	786688
3	2	2	2179	3	24	1	786560
3	3	2	2243	4	13	1	426048
3	0	3	3075	2	14	1	458944
3	1	3	3139	1	23	1	753920
3	2	3	3203	3	23	1	753792
3	3	3	3267	4	14	1	458816
3	0	4	4099	2	15	1	491712
3	1	4	4163	1	22	1	721152
3	2	4	4227	3	22	1	721024
3	3	4	4291	4	15	1	491584
3	0	5	5123	2	16	1	524480
3	1	5	5187	1	21	1	688384
3	2	5	5251	3	21	1	688256
3	3	5	5315	4	16	1	524352
3	0	6	6147	2	17	1	557248
3	1	6	6211	1	20	1	655616
3	2	6	6275	3	20	1	655488
3	3	6	6339	4	17	1	557120
3	0	7	7171	2	18	1	590016
3	1	7	7235	1	19	1	622848
3	2	7	7299	3	19	1	622720
3	3	7	7363	4	18	1	589888
3	0	8	8195	2	10	1	327872
3	1	8	8259	1	27	1	884992
3	2	8	8323	3	27	1	884864
3	3	8	8387	4	10	1	327744
3	0	9	9219	2	9	1	295104
3	1	9	9283	1	28	1	917760
3	2	9	9347	3	28	1	917632
3	3	9	9411	4	9	1	294976
3	0	10	10243	2	8	1	262336
3	1	10	10307	1	29	1	950528
3	2	10	10371	3	29	1	950400
3	3	10	10435	4	8	1	262208
3	0	11	11267	2	7	1	229568
3	1	11	11331	1	30	1	983296
3	2	11	11395	3	30	1	983168
3	3	11	11459	4	7	1	229440
3	0	12	12291	2	6	1	196800
3	1	12	12355	1	31	1	1016064
3	2	12	12419	3	31	1	1015936
3	3	12	12483	4	6	1	196672
3	0	13	13315	2	5	1	164032
3	1	13	13379	1	32	1	1048832
3	2	13	13443	3	32	1	1048704
3	3	13	13507	4	5	1	163904
3	0	14	14339	2	4	1	131264
3	1	14	14403	1	33	1	1081600
3	2	14	14467	3	33	1	1081472
3	3	14	14531	4	4	1	131136
3	0	15	15363	2	3	1	98496
3	1	15	15427	1	34	1	1114368
