# CERN Test beam ECAL period - Combined Period
validity: 26.07.2006  12:34:00    30.10.2006  20:00:00.000000000
crate: 236
#    +- 1=right; 0=full or left
#S   |  +- Layer | 0=lower,1=centre |  PCB     |   cable
#l   |  | + 0=lower
#o F |  | + 1=centre    (ADC)
#t e |  | |  PCB Cable Noise  comment (LN==low noise (~< 4.5), HN==high noise ~>= (9)
#--+-+--+-+---+---+------+------+--------------------------  
15 0 0  1 1 12_C  1
15 1 0  3 1  5_C  2 
15 2 0  5 1  7_C  3 
15 3 0  7 1  6_C  4
15 4 0  9 1 10_C  5
15 5 0 11 1 14_C  6
15 6 0 13 1 16_C  7
15 7 0 15 1 19_C  8
#
17 0 0 17 1 25_C  9
17 1 0 19 1 27_C 10 
17 2 0 21 1 20_C 11
17 3 0 23 1 22_C 12
17 4 0  0 1 11_C 13
17 5 0  2 1  4_C 14
17 6 0  4 1  8_C 15
17 7 0  6 1  3_C 16
#
19 1 0 10 1 13_C 18
19 2 0 12 1 15_C 19
19 3 0 14 1 18_C 20
19 4 0 16 1 23_C 21
19 5 0 18 1 26_C 22
19 6 0 20 1 17_C 25
19 7 0 22 1 21_C 24
#
 9 0 0 29 1 29_C 28
 9 1 0 25 1 30_C 30
 9 2 0 27 1 32_C 29
 9 3 0 24 1 28_C 27
 9 4 0 26 1 31_C 26
 9 5 0 28 1 33_C 31
 9 6 0  8 1  9_C 17
