# FNAL Test beam ECAL period 
validity: 09.04.2011  02:00:00    31.12.2011  23:59:59.000000000
crate: 236
#    +- 1=right; 0=full or left
#S   |  +- Layer | 0=lower,1=centre |  PCB     |   cable
#l   |  | + 0=lower
#o F |  | + 1=centre    (ADC)
#t e |  | |  PCB Cable Noise  comment (LN==low noise (~< 4.5), HN==high noise ~>= (9)
#--+-+--+-+---+---+------+------+--------------------------  
15 0 0  0 1 11_C  1A
15 1 0  2 1  4_C  2A 
15 2 0  4 1  8_C  3A 
15 3 0  6 1  3_C  4A
15 4 0  8 1  9_C  5A
15 5 0 10 1 13_C  6A
15 6 0 12 1 15_C  7A
15 7 1 16 0  9_D  9C
15 7 0 17 0  9_G  9D
#
7 0 0  1 1 12_C   1B
7 1 0  3 1  5_C   2B 
7 2 0  5 1  7_C   3B 
7 3 0  7 1  6_C   4B
7 4 0  9 1 10_C   5B
7 5 0 11 1 14_C   6B
7 6 0 13 1 16_C   7B
7 7 0 15 1 19_C   8B
#
17 0 0 16 1 23_C  9A
17 1 0 18 1 26_C 10A
17 2 0 20 1 17_C 11A
17 3 0 22 1 21_C 12A
17 4 0 24 1 28_C 13A
17 5 0 26 1 31_C 14A 
17 6 0 28 1 33_C 15A
17 7 0 14 1 18_C  8A
#
19 0 1  0 0  18_D 1C
19 0 0  1 0  16_G 1D
19 1 1  2 0  17_D 2C
19 1 0  3 0  17_G 2D
19 2 1  4 0  15_D 3C
19 2 0  5 0  15_G 3D
19 3 1  6 0  14_D 4C
19 3 0  7 0  14_G 4D
19 4 1  8 0  13_D 5C
19 4 0  9 0  13_G 5D
19 5 1 10 0  12_D 6C
19 5 0 11 0  12_G 6D
19 6 1 12 0  11_D 7C
19 6 0 13 0  11_G 7D
19 7 1 14 0  10_D 8C
19 7 0 15 0  10_G 8D
#
 9 1 1 18 0  7_D 10C
 9 1 0 19 0  7_G 10D
 9 2 1 20 0  3_D 11C
 9 2 0 21 0  3_G 11D
 9 3 1 22 0  4_D 12C
 9 3 0 23 0  4_G 12D
 9 4 1 24 0  5_D 13C
 9 4 0 25 0  5_G 13D
 9 6 1 26 0  6_D 14C
 9 6 0 27 0  6_G 14D
 9 7 1 28 0  8_D 15C
 9 7 0 29 0  8_G 15D
#
12 1 0 17 1 25_C  9B
12 2 0 19 1 27_C 10B
12 3 0 21 1 20_C 11B
12 4 0 23 1 22_C 12B
12 5 0 25 1 30_C 13B
12 6 0 27 1 32_C 14B
12 7 0 29 1 29_C 15B




