module	chip	chan	mip
3	4	8	297.568
3	4	6	163.515
3	4	11	221.697
3	4	9	180.51
3	4	7	294.917
3	4	14	211.473
3	4	12	356.176
3	4	17	111.382
3	4	15	205.082
3	4	13	158.635
3	5	2	289.224
3	5	0	229.44
3	5	5	72.1753
3	5	3	148.533
3	5	1	159.59
3	5	8	233.517
3	5	6	0
3	5	11	378.943
3	5	9	0
3	5	7	188.898
5	10	3	169.155
5	10	5	190.861
5	10	0	188.803
5	10	2	167.698
5	10	4	211.848
5	10	9	152.641
5	10	11	143.22
5	10	6	111.125
5	10	8	161.324
5	10	10	165.599
5	10	15	163.096
5	10	17	137.486
5	10	12	143.877
5	10	14	216.952
5	10	16	144.377
5	11	3	143.621
5	11	5	150.979
5	11	0	172.492
5	11	2	87.9107
5	11	4	325.532
1	1	14	220.627
1	1	12	234.421
1	1	17	244.872
1	1	15	206.794
1	1	13	323.166
1	2	2	207.115
1	2	0	282.761
1	2	5	299.267
1	2	3	299.743
1	2	1	326.969
1	2	8	233.979
1	2	6	328.938
1	2	11	318.491
1	2	9	226.613
1	2	7	370.885
1	2	14	443.963
1	2	12	345.151
1	2	17	415.608
1	2	15	296.202
1	2	13	265.215
7	7	9	124.442
7	7	7	166.743
7	7	10	169.825
7	7	8	166.863
7	7	6	173.284
7	7	15	198.637
7	7	13	165.521
7	7	16	116.053
7	7	14	164.482
7	7	12	194.825
7	8	3	86.6685
7	8	1	126.812
7	8	4	161.556
7	8	2	221.448
7	8	0	150.78
7	8	9	226.104
7	8	7	233.085
7	8	10	228.972
7	8	8	138.5
7	8	6	242.486
4	3	2	414.529
4	3	4	321.784
4	3	1	136.658
4	3	3	222.378
4	3	5	199.517
4	3	8	358.49
4	3	6	191.65
4	3	11	186.768
4	3	9	285.611
4	3	7	232.619
4	3	14	68.5712
4	3	12	297.192
4	3	17	307.859
4	3	15	236.941
4	3	13	132.265
4	4	2	403.51
4	4	0	210.944
4	4	5	350.451
4	4	3	254.05
4	4	1	188.967
6	8	15	164.442
6	8	13	163.293
6	8	16	161.354
6	8	14	140.826
6	8	12	140.374
6	9	3	131.986
6	9	5	189.634
6	9	0	182.026
6	9	2	179.783
6	9	4	215.184
6	9	9	136.768
6	9	11	174.837
6	9	6	138.262
6	9	8	184.612
6	9	10	113.307
6	9	15	212.906
6	9	17	176.3
6	9	12	171.784
6	9	14	0
6	9	16	0
2	0	2	261.721
2	0	4	0
2	0	1	97.3613
2	0	3	222.812
2	0	5	118.81
2	0	14	148.312
2	0	16	198.117
2	0	13	180
2	0	15	190.285
2	0	17	192.259
2	1	2	130.492
2	1	0	180.134
2	1	5	327.624
2	1	3	217.653
2	1	1	246.511
2	1	8	148.17
2	1	6	189.337
2	1	11	221.355
2	1	9	180.07
2	1	7	197.843
8	6	3	113.271
8	6	5	261.413
8	6	0	167.843
8	6	2	199.297
8	6	4	114.39
8	6	9	126.958
8	6	11	108.761
8	6	6	180.031
8	6	8	167.57
8	6	10	186.503
8	6	15	160.499
8	6	17	101.584
8	6	12	112.556
8	6	14	0
8	6	16	180.513
8	7	3	100.108
8	7	1	134.177
8	7	4	144.149
8	7	2	224.995
8	7	0	54.9014
14	11	15	124.549
14	11	13	117.791
14	11	16	100.94
14	11	14	67.3643
14	11	12	133.862
14	11	9	125.516
14	11	7	85.6688
14	11	10	92.5932
14	11	8	74.849
14	11	6	63.1235
14	11	3	134.65
14	11	1	114.119
14	11	4	183.033
14	11	2	120.921
14	11	0	130.382
14	10	15	88.6825
14	10	13	97.5794
14	10	16	78.213
14	10	14	98.8556
14	10	12	146.021
10	5	14	78.4734
10	5	12	170.963
10	5	17	160.764
10	5	15	112.228
10	5	13	189.48
10	5	8	192.26
10	5	6	184.971
10	5	11	119.551
10	5	9	220.465
10	5	7	104.506
10	5	2	142.588
10	5	0	114.594
10	5	5	126.741
10	5	3	255.126
10	5	1	132.276
10	4	8	241.325
10	4	6	206.347
10	4	11	206.484
10	4	9	179.737
10	4	7	118.088
15	10	9	140.181
15	10	7	139.185
15	10	10	104.14
15	10	8	171.16
15	10	6	150.251
15	10	5	0
15	10	1	135.367
15	10	4	109.284
15	10	2	105.979
15	10	0	206.623
15	9	15	69.2325
15	9	13	131.062
15	9	16	146.218
15	9	14	93.3671
15	9	12	173.286
15	9	9	143.189
15	9	7	152.777
15	9	10	57.9845
15	9	8	97.3673
15	9	6	146.559
11	4	2	135.995
11	4	0	157.737
11	4	5	114.572
11	4	3	142.592
11	4	1	178.825
11	3	14	102.573
11	3	12	115.828
11	3	17	160.458
11	3	15	138.823
11	3	13	89.2078
11	3	8	175.444
11	3	6	187.894
11	3	11	179.22
11	3	9	190.265
11	3	7	106.654
11	3	2	111.204
11	3	0	217.907
11	3	5	107.912
11	3	3	175.771
11	3	1	245.99
13	9	3	148.992
13	9	1	169.264
13	9	4	109.531
13	9	2	168.269
13	9	0	109.145
13	8	15	104.693
13	8	13	126.624
13	8	16	143.795
13	8	14	130.002
13	8	12	124.791
13	8	9	119.883
13	8	7	132.515
13	8	10	131.124
13	8	8	145.828
13	8	6	125.908
13	8	3	161.579
13	8	1	150.658
13	8	4	66.6237
13	8	2	161.286
13	8	0	134.683
12	2	14	125.177
12	2	12	226.257
12	2	17	101.033
12	2	15	95.37
12	2	13	182.55
12	2	8	83.4744
12	2	6	121.599
12	2	11	121.445
12	2	9	135.058
12	2	7	112.9
12	2	2	133.575
12	2	0	107.057
12	2	5	119.295
12	2	3	107.147
12	2	1	122.244
12	1	14	177.246
12	1	12	187.39
12	1	17	124.118
12	1	15	122.218
12	1	13	108.383
16	7	15	138.068
16	7	13	92.7678
16	7	16	108.426
16	7	14	114.683
16	7	12	130.459
16	7	9	140.243
16	7	7	153.83
16	7	10	178.085
16	7	8	40.4268
16	7	6	101.444
16	7	3	125.376
16	7	1	132.784
16	7	4	85.3776
16	7	2	171.403
16	7	0	180.491
16	6	15	106.82
16	6	13	132.989
16	6	16	104.397
16	6	14	137.642
16	6	12	142.351
9	1	8	345.049
9	1	6	237.767
9	1	11	199.775
9	1	9	230.539
9	1	7	134.743
9	1	2	143.291
9	1	0	132.64
9	1	5	141.805
9	1	3	106.181
9	1	1	190.029
9	0	14	305.791
9	0	12	134.202
9	0	17	151.668
9	0	15	137.044
9	0	13	184.547
9	0	8	155.494
9	0	6	334.05
9	0	11	168.245
9	0	9	300.362
9	0	7	143.17
